ratio,test_acc_mean
0.0,81.26
0.04741134079271762,81.28
0.09482268158543523,81.47999999999999
0.14223402237815286,81.38
0.18964536317087047,80.8
0.23705670396358808,80.74000000000001
0.2844680447563057,79.76000000000002
0.33187938554902335,80.74000000000001
0.37929072634174094,80.5
0.4267020671344586,80.94
0.47411340792717616,80.64000000000001
0.5215247487198938,80.00000000000001
-0.0,81.26
-0.04741134079271762,81.35999999999999
-0.09482268158543523,81.52000000000001
-0.14223402237815286,80.78
-0.18964536317087047,80.2
-0.23705670396358808,79.94
-0.28351981794045134,79.88
-0.32903470510146027,79.1
-0.37398065617295656,79.32000000000001
-0.4120993741703015,78.06
-0.45325241797838045,76.7
-0.4947847525128011,74.78
-0.5374549592262469,75.18
